episode,offload,bandwidth,action,reward,next_bandwidth,next_offload
1,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 14650809.0, 920370880.0, 0.0, 0.4988507926464081, 0.5011491775512695, 0.5003448128700256, 0.49965521693229675]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
2,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 210454912.0, 0.0, 0.49875950813293457, 0.5012405514717102, 0.4998972713947296, 0.5001027584075928]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
3,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 929548416.0, 0.0, 0.49894607067108154, 0.5010539293289185, 0.4997292459011078, 0.500270664691925]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
4,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[35455492.0, 0.0, 256492000.0, 1000000000.0, 0.4993831217288971, 0.5006168484687805, 0.5001152753829956, 0.499884694814682]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
5,"[0.0, 0.0, 0.1]","[0.0, 0.0434853952]","[0.0, 0.0, 524880736.0, 0.0, 0.4993146061897278, 0.500685453414917, 0.5000607967376709, 0.4999392330646515]",2.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
6,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 25927448.0, 0.0, 0.0, 0.49881547689437866, 0.5011845231056213, 0.4999517798423767, 0.5000482797622681]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
7,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 63000000.0, 0.0, 1000000000.0, 0.49875083565711975, 0.5012491941452026, 0.49974319338798523, 0.5002568364143372]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
8,"[0.0, 0.0, 0.1]","[0.0, 0.0089982336]","[57503764.0, 33475226.0, 1000000000.0, 41344472.0, 0.5, 0.5, 0.5001550912857056, 0.4998449385166168]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
9,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 0.0, 0.0, 0.4986971914768219, 0.5013027787208557, 0.5000938177108765, 0.49990612268447876]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
10,"[0.0, 0.0, 0.1]","[0.0, 0.0810329856]","[63000000.0, 63000000.0, 0.0, 0.0, 0.4992198050022125, 0.5007801055908203, 0.5002042055130005, 0.49979573488235474]",1.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
11,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 0.0, 0.0, 0.0, 0.49858376383781433, 0.5014162063598633, 0.5002462267875671, 0.49975377321243286]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
12,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[0.0, 0.0, 324444000.0, 0.0, 0.4989355504512787, 0.5010644197463989, 0.499932199716568, 0.5000678300857544]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
13,"[0.0, 0.0, 0.1]","[0.0, 0.1]","[63000000.0, 63000000.0, 514006688.0, 919317632.0, 0.5, 0.5, 0.5004860162734985, 0.4995139539241791]",0.0,"[0.0, 0.1]","[0.0, 0.0, 0.1]"
